,CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Id,Churn,State,Latitude,Longitude,ZipCode,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
865,8058-JMEQO,Female,Yes,No,No,9,Month-to-month,Electronic check,Yes,84.45,762.5,8058-JMEQO,Yes,California,34.066367,-118.309868,90020,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
866,0697-ZMSWS,Male,No,No,No,4,Month-to-month,Electronic check,Yes,85.65,338.9,0697-ZMSWS,Yes,California,34.017697,-118.200577,90023,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
867,7657-DYEPJ,Male,Yes,No,No,38,One year,Credit card (automatic),Yes,70.15,2497.35,7657-DYEPJ,Yes,California,34.066303000000005,-118.435479,90024,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No
868,8276-MQBYC,Male,Yes,No,No,51,Month-to-month,Electronic check,Yes,97.8,4913.3,8276-MQBYC,Yes,California,34.099869,-118.326843,90028,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
869,7593-XFKDI,Male,No,No,No,1,Month-to-month,Mailed check,No,46.3,46.3,7593-XFKDI,Yes,California,34.085807,-118.206617,90031,Yes,No,DSL,No,No,No,No,No,No
870,0337-CNPZE,Female,No,No,No,41,Month-to-month,Electronic check,Yes,106.3,4443.45,0337-CNPZE,Yes,California,34.050197999999995,-118.21094599999999,90033,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
871,1513-XNPPH,Female,No,No,No,12,Month-to-month,Electronic check,Yes,89.4,1095.65,1513-XNPPH,Yes,California,34.002642,-118.287596,90037,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
872,6015-VVHHE,Female,Yes,No,No,5,Month-to-month,Credit card (automatic),Yes,83.15,446.05,6015-VVHHE,Yes,California,34.110845,-118.25959499999999,90039,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
873,6347-DCUIK,Male,No,No,No,10,Month-to-month,Mailed check,Yes,74.15,811.8,6347-DCUIK,Yes,California,33.988543,-118.33408100000001,90043,Yes,Yes,Fiber optic,No,No,No,No,No,No
874,0897-FEGMU,Female,No,Yes,No,11,Month-to-month,Electronic check,Yes,99.5,1056.95,0897-FEGMU,Yes,California,34.072945000000004,-118.37267,90048,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
875,7663-RGWBC,Male,No,No,No,1,Month-to-month,Mailed check,Yes,44.15,44.15,7663-RGWBC,Yes,California,34.091829,-118.491244,90049,Yes,No,DSL,No,No,No,No,No,No
876,1120-BMWUB,Female,No,No,No,16,Month-to-month,Mailed check,Yes,53.9,834.15,1120-BMWUB,Yes,California,33.987945,-118.370442,90056,Yes,No,DSL,No,Yes,No,Yes,No,No
877,9124-LHCJQ,Female,No,No,No,1,Month-to-month,Mailed check,Yes,85.45,85.45,9124-LHCJQ,Yes,California,34.061918,-118.27793899999999,90057,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
878,2235-ZGKPT,Female,No,Yes,Yes,4,Month-to-month,Mailed check,No,50.85,239.55,2235-ZGKPT,Yes,California,34.003553000000004,-118.30893300000001,90062,Yes,Yes,DSL,No,No,No,No,No,No
879,3891-PUQOD,Female,No,No,Yes,1,Month-to-month,Electronic check,No,59.2,59.2,3891-PUQOD,Yes,California,34.044271,-118.18523700000001,90063,Yes,No,DSL,No,No,Yes,No,No,Yes
880,0689-NKYLF,Male,No,No,No,13,Month-to-month,Electronic check,Yes,83.2,1060.6,0689-NKYLF,Yes,California,34.002028,-118.430656,90066,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
881,3658-KIBGF,Female,No,No,No,1,Month-to-month,Electronic check,Yes,54.9,54.9,3658-KIBGF,Yes,California,34.137411,-118.328915,90068,Yes,No,DSL,Yes,Yes,No,No,No,No
882,5519-YLDGW,Female,No,Yes,No,21,Month-to-month,Electronic check,Yes,103.9,2254.2,5519-YLDGW,Yes,California,34.052917,-118.255178,90071,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
883,4946-EDSEW,Female,No,Yes,Yes,11,Month-to-month,Mailed check,Yes,19.25,180.3,4946-EDSEW,Yes,California,33.885811,-118.20645900000001,90221,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
884,2516-VQRRV,Female,Yes,No,No,2,Month-to-month,Mailed check,Yes,75.45,158.4,2516-VQRRV,Yes,California,33.993990999999994,-118.39703999999999,90230,Yes,Yes,Fiber optic,No,No,No,No,No,No
885,7580-UGXNC,Female,Yes,No,No,2,Month-to-month,Mailed check,No,54.85,104.2,7580-UGXNC,Yes,California,34.019323,-118.391902,90232,Yes,No,DSL,Yes,Yes,No,No,No,No
886,5178-LMXOP,Male,Yes,Yes,No,1,Month-to-month,Electronic check,Yes,95.1,95.1,5178-LMXOP,Yes,California,33.876482,-118.284077,90248,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
887,8185-UPYBR,Male,No,Yes,No,6,Month-to-month,Electronic check,Yes,75.5,438.0,8185-UPYBR,Yes,California,33.865320000000004,-118.396336,90254,Yes,Yes,Fiber optic,No,No,No,No,No,No
888,4585-HETAI,Female,No,Yes,No,4,Month-to-month,Electronic check,Yes,73.75,325.45,4585-HETAI,Yes,California,33.97803,-118.217141,90255,Yes,No,Fiber optic,No,No,Yes,No,No,No
889,7526-BEZQB,Male,No,No,No,12,Month-to-month,Electronic check,Yes,96.05,1148.1,7526-BEZQB,Yes,California,33.88856,-118.35181299999999,90260,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
890,4951-UKAAQ,Female,No,No,No,4,Month-to-month,Electronic check,Yes,88.95,355.2,4951-UKAAQ,Yes,California,33.975332,-118.35525200000001,90302,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
891,2108-YKQTY,Female,No,No,No,4,Month-to-month,Credit card (automatic),No,50.7,151.3,2108-YKQTY,Yes,California,34.031529,-118.491156,90403,Yes,No,DSL,No,Yes,No,No,No,No
892,4918-QLLIW,Male,No,No,No,3,Month-to-month,Credit card (automatic),No,53.4,188.7,4918-QLLIW,Yes,California,34.005439,-118.477507,90405,Yes,No,DSL,No,No,No,No,Yes,No
893,7056-IMHCC,Male,Yes,Yes,No,53,Month-to-month,Electronic check,Yes,101.9,5549.4,7056-IMHCC,Yes,California,33.833698999999996,-118.31438700000001,90501,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
894,1625-JAIIY,Female,No,Yes,No,68,One year,Electronic check,Yes,83.0,5685.8,1625-JAIIY,Yes,California,33.807882,-118.34795700000001,90505,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
895,2947-DOMLJ,Male,No,No,Yes,1,Month-to-month,Mailed check,No,50.6,50.6,2947-DOMLJ,Yes,California,33.874224,-117.99336799999999,90621,Yes,No,DSL,Yes,No,No,No,No,No
896,4112-LUEIZ,Male,No,No,No,10,Month-to-month,Electronic check,Yes,89.5,863.1,4112-LUEIZ,Yes,California,33.850504,-118.039892,90623,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
897,4510-HIMLV,Male,No,No,No,1,Month-to-month,Electronic check,Yes,69.8,69.8,4510-HIMLV,Yes,California,33.940619,-117.9513,90631,Yes,No,Fiber optic,No,No,No,No,No,No
898,8749-JMNKX,Male,Yes,Yes,No,51,Month-to-month,Bank transfer (automatic),Yes,93.8,4750.95,8749-JMNKX,Yes,California,34.015217,-118.10996200000001,90640,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No
899,2430-USGXP,Male,No,Yes,No,24,Month-to-month,Electronic check,Yes,101.05,2391.8,2430-USGXP,Yes,California,33.933565,-118.062611,90670,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
900,5955-ERIHD,Male,No,Yes,No,18,Month-to-month,Electronic check,Yes,94.7,1687.95,5955-ERIHD,Yes,California,33.840524,-118.148403,90712,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
901,0917-EZOLA,Male,Yes,Yes,No,72,Two year,Bank transfer (automatic),Yes,104.15,7689.95,0917-EZOLA,Yes,California,33.847755,-118.112532,90713,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
902,5949-EBSQK,Male,No,Yes,Yes,4,Month-to-month,Credit card (automatic),No,61.45,229.55,5949-EBSQK,Yes,California,33.719221000000005,-118.073596,90742,Yes,No,DSL,No,No,No,Yes,No,Yes
903,7274-RTAPZ,Male,No,No,No,1,Month-to-month,Electronic check,Yes,90.55,90.55,7274-RTAPZ,Yes,California,33.783046999999996,-118.1486,90804,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
904,0311-UNPFF,Female,No,No,No,26,Month-to-month,Bank transfer (automatic),Yes,88.8,2274.35,0311-UNPFF,Yes,California,33.830099,-118.182239,90807,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
905,3834-XUIFC,Male,No,No,No,7,Month-to-month,Mailed check,Yes,85.2,602.55,3834-XUIFC,Yes,California,33.771612,-118.14386599999999,90814,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
906,8414-MYSHR,Male,Yes,No,No,5,Month-to-month,Electronic check,Yes,91.4,449.75,8414-MYSHR,Yes,California,34.128284,-118.04773200000001,91007,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
907,7599-FKVXZ,Male,No,Yes,No,42,Month-to-month,Bank transfer (automatic),Yes,106.15,4512.7,7599-FKVXZ,Yes,California,34.110444,-118.156957,91030,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
908,8229-TNIQA,Female,No,No,No,4,Month-to-month,Mailed check,Yes,45.3,196.95,8229-TNIQA,Yes,California,34.13946,-118.16664899999999,91105,Yes,No,DSL,No,No,No,No,No,No
909,6221-AVQYL,Male,No,No,No,2,Month-to-month,Credit card (automatic),Yes,73.25,131.05,6221-AVQYL,Yes,California,34.153338,-118.262974,91203,Yes,Yes,Fiber optic,No,No,No,No,No,No
910,7743-EXURX,Male,No,Yes,Yes,8,Month-to-month,Electronic check,Yes,51.05,415.05,7743-EXURX,Yes,California,34.195386,-118.23850800000001,91208,Yes,No,DSL,No,No,Yes,No,No,No
911,5569-KGJHX,Female,No,Yes,No,9,Month-to-month,Bank transfer (automatic),Yes,85.35,754.65,5569-KGJHX,Yes,California,34.19829,-118.602203,91303,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
912,4988-IQIGL,Male,Yes,No,No,1,Month-to-month,Electronic check,Yes,75.35,75.35,4988-IQIGL,Yes,California,34.224377000000004,-118.63265600000001,91304,Yes,Yes,Fiber optic,No,No,No,No,No,No
913,7730-IUTDZ,Male,No,No,No,43,Month-to-month,Electronic check,Yes,75.2,3198.6,7730-IUTDZ,Yes,California,34.294142,-118.60388300000001,91311,Yes,No,Fiber optic,Yes,No,No,No,No,No
914,0426-TIRNE,Female,No,No,No,1,Month-to-month,Mailed check,No,20.9,20.9,0426-TIRNE,Yes,California,34.150354,-118.51829199999999,91316,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
915,7587-RZNME,Male,No,No,No,3,Month-to-month,Electronic check,Yes,43.3,123.65,7587-RZNME,Yes,California,34.43987,-118.644609,91355,Yes,No,DSL,No,No,No,No,No,No
916,0748-RDGGM,Male,No,Yes,No,70,One year,Bank transfer (automatic),Yes,109.5,7534.65,0748-RDGGM,Yes,California,34.157137,-118.548511,91356,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
917,4706-AXVKM,Female,Yes,No,No,11,Month-to-month,Credit card (automatic),Yes,84.8,906.85,4706-AXVKM,Yes,California,34.364153,-118.615583,91381,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
918,5889-JTMUL,Female,Yes,Yes,No,50,Month-to-month,Electronic check,Yes,95.05,4888.7,5889-JTMUL,Yes,California,34.506627,-118.699048,91384,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
919,9026-RNUJS,Male,Yes,No,No,5,Month-to-month,Electronic check,No,50.35,237.25,9026-RNUJS,Yes,California,34.178483,-118.43179099999999,91401,Yes,No,DSL,No,No,Yes,No,No,No
920,3746-EUBYR,Male,No,Yes,No,1,Month-to-month,Bank transfer (automatic),Yes,74.6,74.6,3746-EUBYR,Yes,California,34.223768,-118.44546100000001,91402,Yes,Yes,Fiber optic,No,No,No,No,No,No
921,2332-EFBJY,Male,No,No,No,16,Month-to-month,Mailed check,Yes,19.7,342.4,2332-EFBJY,Yes,California,34.147149,-118.463365,91403,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
922,9474-PHLYD,Female,No,No,No,15,Month-to-month,Electronic check,Yes,59.45,892.65,9474-PHLYD,Yes,California,34.146957,-118.432138,91423,Yes,No,DSL,No,No,Yes,No,No,Yes
923,2165-VOEGB,Female,No,No,No,46,One year,Bank transfer (automatic),Yes,105.2,4822.85,2165-VOEGB,Yes,California,34.188339,-118.30094199999999,91501,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
924,2219-MVUSO,Male,No,No,No,8,Month-to-month,Mailed check,Yes,45.15,438.4,2219-MVUSO,Yes,California,34.1692,-118.372498,91601,Yes,No,DSL,No,No,No,No,No,No
925,8914-RBTSB,Male,No,Yes,No,31,Month-to-month,Electronic check,No,93.8,3019.5,8914-RBTSB,Yes,California,34.165783000000005,-118.399795,91607,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
926,0963-ZBDRN,Male,No,No,No,32,Month-to-month,Electronic check,Yes,96.2,3183.4,0963-ZBDRN,Yes,California,34.127621000000005,-117.717863,91711,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
927,7594-RQHXR,Female,No,No,No,1,Month-to-month,Electronic check,Yes,79.6,79.6,7594-RQHXR,Yes,California,34.097345000000004,-117.90673600000001,91722,Yes,No,Fiber optic,No,No,No,No,No,Yes
928,6331-EWIEB,Male,No,No,No,20,Month-to-month,Electronic check,Yes,85.25,1734.5,6331-EWIEB,Yes,California,34.079934,-118.046695,91731,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
929,5998-VVEJY,Male,No,No,No,26,Month-to-month,Electronic check,Yes,80.5,2088.8,5998-VVEJY,Yes,California,34.14649,-117.84981499999999,91741,Yes,Yes,Fiber optic,No,No,No,Yes,No,No
930,1624-NALOJ,Male,Yes,No,No,5,Month-to-month,Electronic check,Yes,89.8,502.6,1624-NALOJ,Yes,California,34.031441,-117.93643600000001,91744,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
931,4317-VTEOA,Male,No,No,No,1,Month-to-month,Electronic check,Yes,50.75,50.75,4317-VTEOA,Yes,California,33.976753,-117.89736699999999,91748,Yes,No,DSL,No,Yes,No,No,No,No
932,1670-SVOWZ,Female,No,Yes,No,14,Month-to-month,Credit card (automatic),Yes,89.65,1208.35,1670-SVOWZ,Yes,California,33.999992,-117.535395,91752,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes
933,7541-YLXCL,Male,No,No,No,36,One year,Mailed check,Yes,65.4,2498.4,7541-YLXCL,Yes,California,34.083086,-117.737997,91767,Yes,No,DSL,No,Yes,No,Yes,No,Yes
934,0260-ZDLGK,Female,No,No,Yes,9,Month-to-month,Mailed check,Yes,72.9,651.4,0260-ZDLGK,Yes,California,34.102119,-117.815532,91773,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
935,8722-NGNBH,Male,No,No,No,5,Month-to-month,Mailed check,No,40.0,223.45,8722-NGNBH,Yes,California,34.018353999999995,-117.85491999999999,91789,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
936,6210-KBBPI,Male,Yes,No,No,9,Month-to-month,Credit card (automatic),Yes,99.45,919.4,6210-KBBPI,Yes,California,34.066964,-117.93700700000001,91790,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
937,0133-BMFZO,Female,No,No,No,2,Month-to-month,Electronic check,Yes,86.25,181.65,0133-BMFZO,Yes,California,34.074736,-118.145959,91803,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
938,6128-CZOMY,Female,No,No,No,1,Month-to-month,Electronic check,Yes,45.65,45.65,6128-CZOMY,Yes,California,32.827184,-116.70372900000001,91901,Yes,No,DSL,No,No,No,No,No,No
939,9540-JYROE,Male,No,No,No,8,Month-to-month,Mailed check,Yes,70.1,551.35,9540-JYROE,Yes,California,32.671170000000004,-117.00232,91902,Yes,No,Fiber optic,No,No,No,No,No,No
940,2260-USTRB,Female,Yes,No,No,2,Month-to-month,Bank transfer (automatic),Yes,70.2,115.95,2260-USTRB,Yes,California,32.673483000000004,-116.47286299999999,91906,Yes,No,Fiber optic,No,No,No,No,No,No
941,3656-TKRVZ,Female,No,No,No,3,Month-to-month,Electronic check,No,55.35,165.2,3656-TKRVZ,Yes,California,32.636792,-117.05498899999999,91910,Yes,No,DSL,Yes,Yes,No,No,No,No
942,8623-TMRBY,Male,Yes,Yes,No,51,Month-to-month,Electronic check,Yes,84.2,4146.05,8623-TMRBY,Yes,California,32.605012,-116.97595,91915,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
943,1501-SGHBW,Male,No,No,No,2,Month-to-month,Mailed check,No,45.85,81.0,1501-SGHBW,Yes,California,32.857946000000005,-116.561917,91931,Yes,No,DSL,No,No,No,No,No,No
944,3208-YPIOE,Male,No,No,No,39,Month-to-month,Electronic check,No,75.25,3017.65,3208-YPIOE,Yes,California,32.782501,-117.01611000000001,91942,Yes,Yes,Fiber optic,No,No,No,No,No,No
945,2612-RANWT,Female,No,No,No,12,Month-to-month,Bank transfer (automatic),Yes,100.15,1164.3,2612-RANWT,Yes,California,32.830852,-116.444601,91948,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
946,6900-PXRMS,Male,Yes,Yes,No,26,Month-to-month,Electronic check,No,105.75,2710.25,6900-PXRMS,Yes,California,32.730264,-116.95096299999999,91978,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
947,3346-BRMIS,Female,Yes,Yes,No,18,Month-to-month,Electronic check,Yes,48.35,810.7,3346-BRMIS,Yes,California,33.290907000000004,-117.202895,92003,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
948,2933-FILNV,Female,No,Yes,Yes,2,Month-to-month,Mailed check,Yes,24.4,36.55,2933-FILNV,Yes,California,33.098017999999996,-117.25820300000001,92009,No,No phone service,DSL,No,No,No,No,No,No
949,9986-BONCE,Female,No,No,No,4,Month-to-month,Bank transfer (automatic),No,20.95,85.5,9986-BONCE,Yes,California,33.362575,-117.299644,92028,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
950,2722-JMONI,Female,Yes,Yes,No,1,Month-to-month,Electronic check,Yes,49.55,49.55,2722-JMONI,Yes,California,33.079834000000005,-117.134275,92029,Yes,No,DSL,Yes,No,No,No,No,No
951,4083-EUGRJ,Male,No,No,No,9,Month-to-month,Mailed check,No,20.25,178.5,4083-EUGRJ,Yes,California,33.254497,-117.28587900000001,92057,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
952,7579-OOPEC,Female,Yes,Yes,No,2,Month-to-month,Credit card (automatic),No,50.15,115.1,7579-OOPEC,Yes,California,33.384345,-117.07261899999999,92059,Yes,No,DSL,No,Yes,No,No,No,No
953,1771-OADNZ,Male,Yes,Yes,No,29,Month-to-month,Electronic check,Yes,95.9,2745.2,1771-OADNZ,Yes,California,33.313828,-116.940501,92061,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
954,0612-RTZZA,Female,Yes,No,No,1,Month-to-month,Electronic check,No,25.25,25.25,0612-RTZZA,Yes,California,33.22784,-117.200024,92084,No,No phone service,DSL,No,No,No,No,No,No
955,6410-LEFEN,Female,No,No,No,9,Month-to-month,Electronic check,No,45.15,416.45,6410-LEFEN,Yes,California,32.774046000000006,-117.142454,92108,Yes,No,DSL,No,No,No,No,No,No
956,3194-ORPIK,Female,No,Yes,No,50,Month-to-month,Bank transfer (automatic),Yes,84.4,4116.15,3194-ORPIK,Yes,California,32.697098,-117.11658700000001,92113,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
957,8816-VXNZD,Female,No,No,No,1,Month-to-month,Electronic check,Yes,75.1,75.1,8816-VXNZD,Yes,California,32.68674,-117.18661200000001,92118,Yes,Yes,Fiber optic,No,No,No,No,No,No
958,9378-FXTIZ,Female,No,Yes,No,54,One year,Credit card (automatic),Yes,70.15,3715.65,9378-FXTIZ,Yes,California,32.802959,-117.02709499999999,92119,Yes,Yes,DSL,No,No,No,No,Yes,Yes
959,1723-HKXJQ,Male,No,No,No,42,Month-to-month,Electronic check,Yes,101.75,4273.45,1723-HKXJQ,Yes,California,32.807867,-117.060993,92120,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
960,7825-GKXMW,Female,No,No,No,1,Month-to-month,Electronic check,No,45.8,45.8,7825-GKXMW,Yes,California,32.898613,-117.202937,92121,Yes,No,DSL,No,No,No,No,No,No
961,1240-KNSEZ,Male,No,No,No,1,Month-to-month,Mailed check,Yes,20.1,20.1,1240-KNSEZ,Yes,California,33.017518,-117.11845600000001,92127,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
962,0836-SEYLU,Male,No,Yes,No,9,Month-to-month,Mailed check,No,40.65,328.95,0836-SEYLU,Yes,California,33.000269,-117.072093,92128,No,No phone service,DSL,No,No,No,Yes,Yes,No
963,4433-JCGCG,Male,Yes,Yes,No,46,Month-to-month,Electronic check,Yes,101.0,4680.05,4433-JCGCG,Yes,California,32.961064,-117.13491699999999,92129,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
964,3716-BDVDB,Male,No,No,No,1,Month-to-month,Electronic check,Yes,69.1,69.1,3716-BDVDB,Yes,California,32.957195,-117.202542,92130,Yes,No,Fiber optic,No,No,No,No,No,No
965,5899-MQZZL,Female,No,No,No,13,Month-to-month,Mailed check,Yes,75.0,999.45,5899-MQZZL,Yes,California,32.555828000000005,-117.04007299999999,92173,Yes,Yes,Fiber optic,No,No,No,No,No,No
966,6849-OYAMU,Male,No,Yes,No,19,One year,Bank transfer (automatic),No,100.0,1888.65,6849-OYAMU,Yes,California,33.713891,-116.237257,92201,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
967,9488-HGMJH,Female,Yes,No,No,1,Month-to-month,Electronic check,Yes,71.15,71.15,9488-HGMJH,Yes,California,33.537646,-116.29108899999999,92210,Yes,No,Fiber optic,No,No,No,No,No,No
968,6038-GCYEC,Female,No,No,No,24,Month-to-month,Credit card (automatic),Yes,54.15,1240.25,6038-GCYEC,Yes,California,33.762759,-116.324817,92211,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes
969,1150-WFARN,Female,No,Yes,No,67,Two year,Credit card (automatic),Yes,108.75,7156.2,1150-WFARN,Yes,California,33.03933,-115.19185700000001,92227,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
970,3144-AUDBS,Female,No,Yes,No,6,Month-to-month,Electronic check,Yes,49.15,270.8,3144-AUDBS,Yes,California,32.690653999999995,-115.431225,92231,Yes,No,DSL,No,No,No,Yes,No,No
971,5616-PRTNT,Male,No,No,Yes,20,Month-to-month,Electronic check,Yes,19.4,374.5,5616-PRTNT,Yes,California,33.889604999999996,-115.25700900000001,92239,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
972,4818-QIUFN,Female,Yes,No,No,20,Month-to-month,Electronic check,Yes,79.15,1520.9,4818-QIUFN,Yes,California,33.832799,-116.250973,92241,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
973,6961-VCPMC,Male,Yes,Yes,No,46,Month-to-month,Electronic check,Yes,80.4,3605.2,6961-VCPMC,Yes,California,33.906496000000004,-116.569499,92258,Yes,No,Fiber optic,No,No,No,No,No,Yes
974,6688-UZPWD,Female,No,Yes,No,11,Month-to-month,Electronic check,Yes,102.0,1145.35,6688-UZPWD,Yes,California,33.839989,-116.65921499999999,92262,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
975,2839-RFSQE,Female,No,No,No,2,Month-to-month,Mailed check,No,20.65,38.7,2839-RFSQE,Yes,California,33.763678000000006,-116.429928,92270,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
976,0968-GSIKN,Female,No,No,No,1,Month-to-month,Mailed check,Yes,70.8,70.8,0968-GSIKN,Yes,California,33.849263,-116.382778,92276,Yes,No,Fiber optic,No,No,No,No,No,No
977,1965-DDBWU,Male,No,No,No,16,Month-to-month,Credit card (automatic),Yes,89.05,1448.6,1965-DDBWU,Yes,California,34.172109999999996,-115.769773,92277,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes
978,9057-SIHCH,Female,No,No,No,3,Month-to-month,Electronic check,Yes,96.6,291.9,9057-SIHCH,Yes,California,34.457829,-116.13958899999999,92278,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
979,6771-XWBDM,Female,No,Yes,No,57,Month-to-month,Credit card (automatic),Yes,104.5,5921.35,6771-XWBDM,Yes,California,33.972293,-116.654195,92282,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
980,8601-QACRS,Female,No,No,No,5,Month-to-month,Mailed check,Yes,50.6,249.95,8601-QACRS,Yes,California,34.55082,-117.122396,92307,Yes,Yes,DSL,No,No,No,No,No,No
981,2391-SOORI,Male,No,No,Yes,4,Month-to-month,Electronic check,No,49.35,219.65,2391-SOORI,Yes,California,34.278967,-116.773825,92314,Yes,No,DSL,Yes,No,No,No,No,No
982,2645-QTLMB,Male,No,No,No,7,Month-to-month,Electronic check,Yes,94.25,669.0,2645-QTLMB,Yes,California,34.059722,-117.39103999999999,92316,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
983,4806-HIPDW,Female,No,Yes,No,1,Month-to-month,Electronic check,Yes,68.95,68.95,4806-HIPDW,Yes,California,33.982787,-117.057627,92320,Yes,No,Fiber optic,No,No,No,No,No,No
984,4424-TKOPW,Male,Yes,No,No,2,Month-to-month,Electronic check,Yes,93.85,196.75,4424-TKOPW,Yes,California,34.248061,-117.29028000000001,92325,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
985,8443-ZRDBZ,Male,No,No,No,4,Month-to-month,Electronic check,Yes,76.05,318.9,8443-ZRDBZ,Yes,California,34.136367,-117.460803,92336,Yes,Yes,Fiber optic,No,No,No,No,No,No
986,9136-ALYBR,Male,No,No,No,1,Month-to-month,Mailed check,Yes,24.45,24.45,9136-ALYBR,Yes,California,34.049671000000004,-117.468896,92337,No,No phone service,DSL,No,No,No,No,No,No
987,7479-NITWS,Male,No,No,No,7,Month-to-month,Credit card (automatic),Yes,89.35,631.85,7479-NITWS,Yes,California,34.244411,-117.072654,92341,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
988,2959-MJHIC,Male,No,Yes,No,4,Month-to-month,Electronic check,Yes,80.35,307.4,2959-MJHIC,Yes,California,34.983808,-117.239306,92347,Yes,No,Fiber optic,No,No,No,No,Yes,No
989,4201-JMNGR,Female,Yes,No,No,1,Month-to-month,Electronic check,Yes,55.8,55.8,4201-JMNGR,Yes,California,34.508417,-116.856103,92356,Yes,No,DSL,Yes,No,Yes,No,No,No
990,5960-WPXQM,Male,No,No,No,1,Month-to-month,Electronic check,Yes,79.05,79.05,5960-WPXQM,Yes,California,34.89326,-116.505958,92365,Yes,No,Fiber optic,No,No,No,No,Yes,No
991,0684-AOSIH,Male,No,Yes,No,1,Month-to-month,Electronic check,Yes,95.0,95.0,0684-AOSIH,Yes,California,34.647959,-117.296957,92368,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
